,Actual Arr Time (Local),Actual Arr Time (UTC),Actual Dep Time (Local),Actual Dep Time (UTC),Actual Duration,Aircraft,Airline,Arr Airport,Arr City,Arr Connect,Arr Country,Arr Delay,Arr Lat,Arr Long,Arr Name,Arr Timezone,Class,Date,Dep Airport,Dep City,Dep Country,Dep Delay,Dep Lat,Dep Long,Dep Name,Dep Timezone,Distance,Domestic/International,Duration,Flight,Registration,Scheduled Arr Time (Local),Scheduled Arr Time (UTC),Scheduled Dep Time (Local),Scheduled Dep Time (UTC),Scheduled Duration,Seat,Timing Data,Unnamed: 18,Last flight arrival (UTC),Time since last flight
30,2016-12-24 10:48:00,2016-12-24 00:48:00,2016-12-24 01:07:00,2016-12-23 17:07:00,07:41:00,A333,Singapore,BNE,Brisbane,,Australia,3.0,-27.38419914,153.1170044,Brisbane International Airport,Australia/Brisbane,Lie-flat Business,2016-12-24 00:00:00,SIN,Singapore,Singapore,22.0,1.35019,103.994003,Singapore Changi Airport,Asia/Singapore,3815.599428215273,International,461.0,SQ255,9VSSI,2016-12-24 10:45:00,2016-12-24 00:45:00,2016-12-24 00:45:00,2016-12-23 16:45:00,08:00:00,,FlightStats,,2016-12-23 14:35:00,0 days 02:32:00
31,2016-12-29 20:14:00,2016-12-29 09:14:00,2016-12-29 18:02:00,2016-12-29 08:02:00,01:12:00,B738,Qantas,SYD,Sydney,,Australia,4.0,-33.94609833,151.177002,Sydney Kingsford Smith International Airport,Australia/Sydney,Economy,2016-12-29 00:00:00,BNE,Brisbane,Australia,27.0,-27.38419914,153.1170044,Brisbane International Airport,Australia/Brisbane,466.53208531888976,Domestic,72.0,QF551,VHVXJ,2016-12-29 20:10:00,2016-12-29 09:10:00,2016-12-29 17:35:00,2016-12-29 07:35:00,01:35:00,,FlightStats,,2016-12-24 00:48:00,5 days 07:14:00
32,2017-01-02 05:53:00,2017-01-02 13:53:00,2017-01-02 11:45:00,2017-01-02 00:45:00,13:08:00,B789,United,LAX,Los Angeles,1.0,United States,-37.0,33.94250107,-118.4079971,Los Angeles International Airport,America/Los_Angeles,Lie-flat Business,2017-01-02 00:00:00,SYD,Sydney,Australia,15.0,-33.94609833,151.177002,Sydney Kingsford Smith International Airport,Australia/Sydney,7487.965805300083,International,788.0,UA840,N36962,2017-01-02 06:30:00,2017-01-02 14:30:00,2017-01-02 11:30:00,2017-01-02 00:30:00,14:00:00,8L,FlightStats,,2016-12-29 09:14:00,3 days 15:31:00
33,2017-01-02 16:16:00,2017-01-02 21:16:00,2017-01-02 08:37:00,2017-01-02 16:37:00,04:39:00,B738,United,BOS,Boston,,United States,-31.0,42.36429977,-71.00520325,General Edward Lawrence Logan International Airport,America/New_York,Recliner First,2017-01-02 00:00:00,LAX,Los Angeles,United States,22.0,33.94250107,-118.4079971,Los Angeles International Airport,America/Los_Angeles,2611.1320579472062,Domestic,279.0,UA824,N77530,2017-01-02 16:47:00,2017-01-02 21:47:00,2017-01-02 08:15:00,2017-01-02 16:15:00,05:32:00,3F,FlightStats,,2017-01-02 13:53:00,0 days 02:44:00
34,2017-03-11 08:38:00,2017-03-11 13:38:00,2017-03-11 07:51:00,2017-03-11 12:51:00,00:47:00,B739,United,EWR,Newark,1.0,United States,8.0,40.69250107,-74.16870117,Newark Liberty International Airport,America/New_York,Economy,2017-03-11 00:00:00,BOS,Boston,United States,45.0,42.36429977,-71.00520325,General Edward Lawrence Logan International Airport,America/New_York,200.54071928173732,Domestic,47.0,UA1548,N67827,2017-03-11 08:30:00,2017-03-11 13:30:00,2017-03-11 07:06:00,2017-03-11 12:06:00,01:24:00,10A,FlightStats,,2017-01-02 21:16:00,67 days 15:35:00
35,2017-03-12 17:28:00,2017-03-12 09:28:00,2017-03-11 15:44:00,2017-03-11 20:44:00,12:44:00,B772,United,PEK,Beijing,,China,148.0,40.08010101,116.5849991,Beijing Capital International Airport,Asia/Shanghai,Economy,2017-03-11 00:00:00,EWR,Newark,United States,224.0,40.69250107,-74.16870117,Newark Liberty International Airport,America/New_York,6830.922823928072,International,764.0,UA89,N76010,2017-03-12 15:00:00,2017-03-12 07:00:00,2017-03-11 12:00:00,2017-03-11 17:00:00,14:00:00,17L,FlightStats,,2017-03-11 13:38:00,0 days 07:06:00
36,2017-03-20 18:37:00,2017-03-20 22:37:00,2017-03-20 17:55:00,2017-03-20 09:55:00,12:42:00,B772,United,EWR,Newark,1.0,United States,-3.0,40.69250107,-74.16870117,Newark Liberty International Airport,America/New_York,Lie-flat Business,2017-03-20 00:00:00,PEK,Beijing,China,55.0,40.08010101,116.5849991,Beijing Capital International Airport,Asia/Shanghai,6830.922823928072,International,762.0,UA88,N69020,2017-03-20 18:40:00,2017-03-20 22:40:00,2017-03-20 17:00:00,2017-03-20 09:00:00,13:40:00,8L,FlightStats,,2017-03-11 09:28:00,9 days 00:27:00
37,2017-03-20 22:56:00,2017-03-21 02:56:00,2017-03-20 22:19:00,2017-03-21 02:19:00,00:37:00,B739,United,BOS,Boston,,United States,-9.0,42.36429977,-71.00520325,General Edward Lawrence Logan International Airport,America/New_York,Recliner First,2017-03-20 00:00:00,EWR,Newark,United States,27.0,40.69250107,-74.16870117,Newark Liberty International Airport,America/New_York,200.54071928173732,Domestic,37.0,UA1775,N64809,2017-03-20 23:05:00,2017-03-21 03:05:00,2017-03-20 21:52:00,2017-03-21 01:52:00,01:13:00,4A,FlightStats,,2017-03-20 22:37:00,0 days 03:42:00
38,2017-04-13 11:27:00,2017-04-13 15:27:00,2017-04-13 10:28:00,2017-04-13 14:28:00,00:59:00,A320,United,IAD,Washington,1.0,United States,-13.0,38.94449997,-77.45580292,Washington Dulles International Airport,America/New_York,Economy,2017-04-13 00:00:00,BDL,Windsor Locks,United States,8.0,41.93889999,-72.68319702,Bradley International Airport,America/New_York,325.46879265415834,Domestic,59.0,UA1873,N418UA,2017-04-13 11:40:00,2017-04-13 15:40:00,2017-04-13 10:20:00,2017-04-13 14:20:00,01:20:00,32A,FlightStats,,2017-03-21 02:56:00,23 days 11:32:00
39,2017-04-13 14:48:00,2017-04-13 21:48:00,2017-04-13 12:54:00,2017-04-13 16:54:00,04:54:00,B739,United,LAX,Los Angeles,,United States,-40.0,33.94250107,-118.4079971,Los Angeles International Airport,America/Los_Angeles,Economy,2017-04-13 00:00:00,IAD,Washington,United States,9.0,38.94449997,-77.45580292,Washington Dulles International Airport,America/New_York,2287.9664549344816,Domestic,294.0,UA632,N62894,2017-04-13 15:28:00,2017-04-13 22:28:00,2017-04-13 12:45:00,2017-04-13 16:45:00,05:43:00,32F,FlightStats,,2017-04-13 15:27:00,0 days 01:27:00
40,2017-04-16 16:14:00,2017-04-16 22:14:00,2017-04-16 13:28:00,2017-04-16 20:28:00,01:46:00,B772,United,DEN,Denver,1.0,United States,-20.0,39.86169815,-104.6729965,Denver International Airport,America/Denver,Economy,2017-04-16 00:00:00,LAX,Los Angeles,United States,13.0,33.94250107,-118.4079971,Los Angeles International Airport,America/Los_Angeles,861.8566231078721,Domestic,106.0,UA314,N778UA,2017-04-16 16:34:00,2017-04-16 22:34:00,2017-04-16 13:15:00,2017-04-16 20:15:00,02:19:00,49G,FlightStats,,2017-04-13 21:48:00,2 days 22:40:00
41,2017-04-16 23:04:00,2017-04-17 03:04:00,2017-04-16 17:55:00,2017-04-16 23:55:00,03:09:00,B738,United,BDL,Windsor Locks,,United States,-23.0,41.93889999,-72.68319702,Bradley International Airport,America/New_York,Economy,2017-04-16 00:00:00,DEN,Denver,United States,10.0,39.86169815,-104.6729965,Denver International Airport,America/Denver,1671.2966455056035,Domestic,189.0,UA1887,N33264,2017-04-16 23:27:00,2017-04-17 03:27:00,2017-04-16 17:45:00,2017-04-16 23:45:00,03:42:00,15F,FlightStats,,2017-04-16 22:14:00,0 days 01:41:00
